areaperil_id,lon,lat,IMTs
1,-72.05,18.55,SA(0.6)
2,-72.05,18.6,SA(0.6)
3,-72.05,18.65,SA(0.6)
4,-72.0,18.4,SA(0.6)
5,-72.0,18.45,SA(0.6)
6,-72.0,18.5,SA(0.6)
7,-72.0,18.55,SA(0.6)
8,-72.0,18.6,SA(0.6)
9,-72.0,18.65,SA(0.6)
10,-72.0,18.7,SA(0.6)
11,-71.95,18.35,SA(0.6)
12,-71.95,18.4,SA(0.6)
13,-71.95,18.45,SA(0.6)
14,-71.95,18.5,SA(0.6)
15,-71.95,18.55,SA(0.6)
16,-71.95,18.6,SA(0.6)
17,-71.95,18.65,SA(0.6)
18,-71.95,18.7,SA(0.6)
19,-71.9,18.35,SA(0.6)
20,-71.9,18.4,SA(0.6)
21,-71.9,18.45,SA(0.6)
22,-71.9,18.5,SA(0.6)
23,-71.9,18.55,SA(0.6)
24,-71.9,18.6,SA(0.6)
25,-71.9,18.65,SA(0.6)
26,-71.9,18.7,SA(0.6)
27,-71.85,18.0,SA(0.6)
28,-71.85,18.05,SA(0.6)
29,-71.85,18.1,SA(0.6)
30,-71.85,18.15,SA(0.6)
31,-71.85,18.2,SA(0.6)
32,-71.85,18.25,SA(0.6)
33,-71.85,18.3,SA(0.6)
34,-71.85,18.35,SA(0.6)
35,-71.85,18.4,SA(0.6)
36,-71.85,18.45,SA(0.6)
37,-71.85,18.5,SA(0.6)
38,-71.85,18.55,SA(0.6)
39,-71.85,18.6,SA(0.6)
40,-71.85,18.65,SA(0.6)
41,-71.85,18.7,SA(0.6)
42,-71.85,18.75,SA(0.6)
43,-71.85,18.9,SA(0.6)
44,-71.85,18.95,SA(0.6)
45,-71.85,19.0,SA(0.6)
46,-71.85,19.7,SA(0.6)
47,-71.85,19.75,SA(0.6)
48,-71.85,19.8,SA(0.6)
49,-71.8,17.95,SA(0.6)
50,-71.8,18.0,SA(0.6)
51,-71.8,18.05,SA(0.6)
52,-71.8,18.1,SA(0.6)
53,-71.8,18.15,SA(0.6)
54,-71.8,18.2,SA(0.6)
55,-71.8,18.25,SA(0.6)
56,-71.8,18.3,SA(0.6)
57,-71.8,18.35,SA(0.6)
58,-71.8,18.4,SA(0.6)
59,-71.8,18.45,SA(0.6)
60,-71.8,18.5,SA(0.6)
61,-71.8,18.55,SA(0.6)
62,-71.8,18.6,SA(0.6)
63,-71.8,18.65,SA(0.6)
64,-71.8,18.7,SA(0.6)
65,-71.8,18.75,SA(0.6)
66,-71.8,18.8,SA(0.6)
67,-71.8,18.85,SA(0.6)
68,-71.8,18.9,SA(0.6)
69,-71.8,18.95,SA(0.6)
70,-71.8,19.0,SA(0.6)
71,-71.8,19.05,SA(0.6)
72,-71.8,19.1,SA(0.6)
73,-71.8,19.25,SA(0.6)
74,-71.8,19.3,SA(0.6)
75,-71.8,19.35,SA(0.6)
76,-71.8,19.4,SA(0.6)
77,-71.8,19.55,SA(0.6)
78,-71.8,19.6,SA(0.6)
79,-71.8,19.65,SA(0.6)
80,-71.8,19.7,SA(0.6)
81,-71.8,19.75,SA(0.6)
82,-71.8,19.8,SA(0.6)
83,-71.8,19.85,SA(0.6)
84,-71.75,17.95,SA(0.6)
85,-71.75,18.0,SA(0.6)
86,-71.75,18.05,SA(0.6)
87,-71.75,18.1,SA(0.6)
88,-71.75,18.15,SA(0.6)
89,-71.75,18.2,SA(0.6)
90,-71.75,18.25,SA(0.6)
91,-71.75,18.3,SA(0.6)
92,-71.75,18.35,SA(0.6)
93,-71.75,18.4,SA(0.6)
94,-71.75,18.45,SA(0.6)
95,-71.75,18.5,SA(0.6)
96,-71.75,18.55,SA(0.6)
97,-71.75,18.6,SA(0.6)
98,-71.75,18.65,SA(0.6)
99,-71.75,18.7,SA(0.6)
100,-71.75,18.75,SA(0.6)
101,-71.75,18.8,SA(0.6)
102,-71.75,18.85,SA(0.6)
103,-71.75,18.9,SA(0.6)
104,-71.75,18.95,SA(0.6)
105,-71.75,19.0,SA(0.6)
106,-71.75,19.05,SA(0.6)
107,-71.75,19.1,SA(0.6)
108,-71.75,19.15,SA(0.6)
109,-71.75,19.2,SA(0.6)
110,-71.75,19.25,SA(0.6)
111,-71.75,19.3,SA(0.6)
112,-71.75,19.35,SA(0.6)
113,-71.75,19.4,SA(0.6)
114,-71.75,19.45,SA(0.6)
115,-71.75,19.5,SA(0.6)
116,-71.75,19.55,SA(0.6)
117,-71.75,19.6,SA(0.6)
118,-71.75,19.65,SA(0.6)
119,-71.75,19.7,SA(0.6)
120,-71.75,19.75,SA(0.6)
121,-71.75,19.8,SA(0.6)
122,-71.75,19.85,SA(0.6)
123,-71.75,19.9,SA(0.6)
