bin_index,bin_from,bin_to,interpolation,interval_type,type
1,0,0.05,1e-04,1201,SA(0.6)
2,0.05,0.1,0.075,1201,SA(0.6)
3,0.1,0.15,0.125,1201,SA(0.6)
4,0.15,0.2,0.175,1201,SA(0.6)
5,0.2,0.25,0.225,1201,SA(0.6)
6,0.25,0.3,0.275,1201,SA(0.6)
7,0.3,0.35,0.325,1201,SA(0.6)
8,0.35,0.4,0.375,1201,SA(0.6)
9,0.4,0.45,0.425,1201,SA(0.6)
10,0.45,0.5,0.475,1201,SA(0.6)
11,0.5,0.55,0.525,1201,SA(0.6)
12,0.55,0.6,0.575,1201,SA(0.6)
13,0.6,0.65,0.625,1201,SA(0.6)
14,0.65,0.7,0.675,1201,SA(0.6)
15,0.7,0.75,0.725,1201,SA(0.6)
16,0.75,0.8,0.775,1201,SA(0.6)
17,0.8,0.85,0.825,1201,SA(0.6)
18,0.85,0.9,0.875,1201,SA(0.6)
19,0.9,0.95,0.925,1201,SA(0.6)
20,0.95,1,0.975,1201,SA(0.6)
21,1,1.05,1.025,1201,SA(0.6)
22,1.05,1.1,1.075,1201,SA(0.6)
23,1.1,1.15,1.125,1201,SA(0.6)
24,1.15,1.2,1.175,1201,SA(0.6)
25,1.2,1.25,1.225,1201,SA(0.6)
26,1.25,1.3,1.275,1201,SA(0.6)
27,1.3,1.35,1.325,1201,SA(0.6)
28,1.35,1.4,1.375,1201,SA(0.6)
29,1.4,1.45,1.425,1201,SA(0.6)
30,1.45,1.5,1.475,1201,SA(0.6)
31,1.5,1.55,1.525,1201,SA(0.6)
32,1.55,1.6,1.575,1201,SA(0.6)
33,1.6,1.65,1.625,1201,SA(0.6)
34,1.65,1.7,1.675,1201,SA(0.6)
35,1.7,1.75,1.725,1201,SA(0.6)
36,1.75,1.8,1.775,1201,SA(0.6)
37,1.8,1.85,1.825,1201,SA(0.6)
38,1.85,1.9,1.875,1201,SA(0.6)
39,1.9,1.95,1.925,1201,SA(0.6)
40,1.95,2,1.975,1201,SA(0.6)
41,2,2.05,2.025,1201,SA(0.6)
42,2.05,2.1,2.075,1201,SA(0.6)
43,2.1,2.15,2.125,1201,SA(0.6)
44,2.15,2.2,2.175,1201,SA(0.6)
45,2.2,2.25,2.225,1201,SA(0.6)
46,2.25,2.3,2.275,1201,SA(0.6)
47,2.3,2.35,2.325,1201,SA(0.6)
48,2.35,2.4,2.375,1201,SA(0.6)
49,2.4,2.45,2.425,1201,SA(0.6)
50,2.45,2.5,2.475,1201,SA(0.6)
51,2.5,2.55,2.525,1201,SA(0.6)
52,2.55,2.6,2.575,1201,SA(0.6)
53,2.6,2.65,2.625,1201,SA(0.6)
54,2.65,2.7,2.675,1201,SA(0.6)
55,2.7,2.75,2.725,1201,SA(0.6)
56,2.75,2.8,2.775,1201,SA(0.6)
57,2.8,2.85,2.825,1201,SA(0.6)
58,2.85,2.9,2.875,1201,SA(0.6)
59,2.9,2.95,2.925,1201,SA(0.6)
60,2.95,3,2.975,1201,SA(0.6)
61,3,3.05,3.025,1201,SA(0.6)
62,3.05,3.1,3.075,1201,SA(0.6)
63,3.1,3.15,3.125,1201,SA(0.6)
64,3.15,3.2,3.175,1201,SA(0.6)
65,3.2,3.25,3.225,1201,SA(0.6)
66,3.25,3.3,3.275,1201,SA(0.6)
67,3.3,3.35,3.325,1201,SA(0.6)
68,3.35,3.4,3.375,1201,SA(0.6)
69,3.4,3.45,3.425,1201,SA(0.6)
70,3.45,3.5,3.475,1201,SA(0.6)
71,3.5,3.55,3.525,1201,SA(0.6)
72,3.55,3.6,3.575,1201,SA(0.6)
73,3.6,3.65,3.625,1201,SA(0.6)
74,3.65,3.7,3.675,1201,SA(0.6)
75,3.7,3.75,3.725,1201,SA(0.6)
76,3.75,3.8,3.775,1201,SA(0.6)
77,3.8,3.85,3.825,1201,SA(0.6)
78,3.85,3.9,3.875,1201,SA(0.6)
79,3.9,3.95,3.925,1201,SA(0.6)
80,3.95,4,3.975,1201,SA(0.6)
81,4,4.05,4.025,1201,SA(0.6)
82,4.05,4.1,4.075,1201,SA(0.6)
83,4.1,4.15,4.125,1201,SA(0.6)
84,4.15,4.2,4.175,1201,SA(0.6)
85,4.2,4.25,4.225,1201,SA(0.6)
86,4.25,4.3,4.275,1201,SA(0.6)
87,4.3,4.35,4.325,1201,SA(0.6)
88,4.35,4.4,4.375,1201,SA(0.6)
89,4.4,4.45,4.425,1201,SA(0.6)
90,4.45,4.5,4.475,1201,SA(0.6)
91,4.5,4.55,4.525,1201,SA(0.6)
92,4.55,4.6,4.575,1201,SA(0.6)
93,4.6,4.65,4.625,1201,SA(0.6)
94,4.65,4.7,4.675,1201,SA(0.6)
95,4.7,4.75,4.725,1201,SA(0.6)
96,4.75,4.8,4.775,1201,SA(0.6)
97,4.8,4.85,4.825,1201,SA(0.6)
98,4.85,4.9,4.875,1201,SA(0.6)
99,4.9,4.95,4.925,1201,SA(0.6)
100,4.95,5,4.975,1201,SA(0.6)
101,5,5.05,5.025,1201,SA(0.6)
102,5.05,5.1,5.075,1201,SA(0.6)
103,5.1,5.15,5.125,1201,SA(0.6)
104,5.15,5.2,5.175,1201,SA(0.6)
105,0,0.05,1e-04,1201,SA(0.3)
106,0.05,0.1,0.075,1201,SA(0.3)
107,0.1,0.15,0.125,1201,SA(0.3)
108,0.15,0.2,0.175,1201,SA(0.3)
109,0.2,0.25,0.225,1201,SA(0.3)
110,0.25,0.3,0.275,1201,SA(0.3)
111,0.3,0.35,0.325,1201,SA(0.3)
112,0.35,0.4,0.375,1201,SA(0.3)
113,0.4,0.45,0.425,1201,SA(0.3)
114,0.45,0.5,0.475,1201,SA(0.3)
115,0.5,0.55,0.525,1201,SA(0.3)
116,0.55,0.6,0.575,1201,SA(0.3)
117,0.6,0.65,0.625,1201,SA(0.3)
118,0.65,0.7,0.675,1201,SA(0.3)
119,0.7,0.75,0.725,1201,SA(0.3)
120,0.75,0.8,0.775,1201,SA(0.3)
121,0.8,0.85,0.825,1201,SA(0.3)
122,0.85,0.9,0.875,1201,SA(0.3)
123,0.9,0.95,0.925,1201,SA(0.3)
124,0.95,1,0.975,1201,SA(0.3)
125,1,1.05,1.025,1201,SA(0.3)
126,1.05,1.1,1.075,1201,SA(0.3)
127,1.1,1.15,1.125,1201,SA(0.3)
128,1.15,1.2,1.175,1201,SA(0.3)
129,1.2,1.25,1.225,1201,SA(0.3)
130,1.25,1.3,1.275,1201,SA(0.3)
131,1.3,1.35,1.325,1201,SA(0.3)
132,1.35,1.4,1.375,1201,SA(0.3)
133,1.4,1.45,1.425,1201,SA(0.3)
134,1.45,1.5,1.475,1201,SA(0.3)
135,1.5,1.55,1.525,1201,SA(0.3)
136,1.55,1.6,1.575,1201,SA(0.3)
137,1.6,1.65,1.625,1201,SA(0.3)
138,1.65,1.7,1.675,1201,SA(0.3)
139,1.7,1.75,1.725,1201,SA(0.3)
140,1.75,1.8,1.775,1201,SA(0.3)
141,1.8,1.85,1.825,1201,SA(0.3)
142,1.85,1.9,1.875,1201,SA(0.3)
143,1.9,1.95,1.925,1201,SA(0.3)
144,1.95,2,1.975,1201,SA(0.3)
145,2,2.05,2.025,1201,SA(0.3)
146,2.05,2.1,2.075,1201,SA(0.3)
147,2.1,2.15,2.125,1201,SA(0.3)
148,2.15,2.2,2.175,1201,SA(0.3)
149,2.2,2.25,2.225,1201,SA(0.3)
150,2.25,2.3,2.275,1201,SA(0.3)
151,2.3,2.35,2.325,1201,SA(0.3)
152,2.35,2.4,2.375,1201,SA(0.3)
153,2.4,2.45,2.425,1201,SA(0.3)
154,2.45,2.5,2.475,1201,SA(0.3)
155,2.5,2.55,2.525,1201,SA(0.3)
156,2.55,2.6,2.575,1201,SA(0.3)
157,2.6,2.65,2.625,1201,SA(0.3)
158,2.65,2.7,2.675,1201,SA(0.3)
159,2.7,2.75,2.725,1201,SA(0.3)
160,2.75,2.8,2.775,1201,SA(0.3)
161,2.8,2.85,2.825,1201,SA(0.3)
162,2.85,2.9,2.875,1201,SA(0.3)
163,2.9,2.95,2.925,1201,SA(0.3)
164,2.95,3,2.975,1201,SA(0.3)
165,3,3.05,3.025,1201,SA(0.3)
166,3.05,3.1,3.075,1201,SA(0.3)
167,3.1,3.15,3.125,1201,SA(0.3)
168,3.15,3.2,3.175,1201,SA(0.3)
169,3.2,3.25,3.225,1201,SA(0.3)
170,3.25,3.3,3.275,1201,SA(0.3)
171,3.3,3.35,3.325,1201,SA(0.3)
172,3.35,3.4,3.375,1201,SA(0.3)
173,3.4,3.45,3.425,1201,SA(0.3)
174,3.45,3.5,3.475,1201,SA(0.3)
175,3.5,3.55,3.525,1201,SA(0.3)
176,3.55,3.6,3.575,1201,SA(0.3)
177,3.6,3.65,3.625,1201,SA(0.3)
178,3.65,3.7,3.675,1201,SA(0.3)
179,3.7,3.75,3.725,1201,SA(0.3)
180,3.75,3.8,3.775,1201,SA(0.3)
181,3.8,3.85,3.825,1201,SA(0.3)
182,3.85,3.9,3.875,1201,SA(0.3)
183,3.9,3.95,3.925,1201,SA(0.3)
184,3.95,4,3.975,1201,SA(0.3)
185,4,4.05,4.025,1201,SA(0.3)
186,4.05,4.1,4.075,1201,SA(0.3)
187,4.1,4.15,4.125,1201,SA(0.3)
188,4.15,4.2,4.175,1201,SA(0.3)
189,4.2,4.25,4.225,1201,SA(0.3)
190,4.25,4.3,4.275,1201,SA(0.3)
191,4.3,4.35,4.325,1201,SA(0.3)
192,4.35,4.4,4.375,1201,SA(0.3)
193,4.4,4.45,4.425,1201,SA(0.3)
194,4.45,4.5,4.475,1201,SA(0.3)
195,4.5,4.55,4.525,1201,SA(0.3)
196,4.55,4.6,4.575,1201,SA(0.3)
197,4.6,4.65,4.625,1201,SA(0.3)
198,4.65,4.7,4.675,1201,SA(0.3)
199,4.7,4.75,4.725,1201,SA(0.3)
200,4.75,4.8,4.775,1201,SA(0.3)
201,4.8,4.85,4.825,1201,SA(0.3)
202,4.85,4.9,4.875,1201,SA(0.3)
203,4.9,4.95,4.925,1201,SA(0.3)
204,4.95,5,4.975,1201,SA(0.3)
205,5,5.05,5.025,1201,SA(0.3)
206,5.05,5.1,5.075,1201,SA(0.3)
207,5.1,5.15,5.125,1201,SA(0.3)
208,5.15,5.2,5.175,1201,SA(0.3)
209,5.2,5.25,5.225,1201,SA(0.3)
210,0,0.05,1e-04,1201,PGA
211,0.05,0.1,0.075,1201,PGA
212,0.1,0.15,0.125,1201,PGA
213,0.15,0.2,0.175,1201,PGA
214,0.2,0.25,0.225,1201,PGA
215,0.25,0.3,0.275,1201,PGA
216,0.3,0.35,0.325,1201,PGA
217,0.35,0.4,0.375,1201,PGA
218,0.4,0.45,0.425,1201,PGA
219,0.45,0.5,0.475,1201,PGA
220,0.5,0.55,0.525,1201,PGA
221,0.55,0.6,0.575,1201,PGA
